id,filme_id,usuario,nota,data_avaliacao,comentario
1,1,usuario_12,4.6,2025-02-04,Surpreendente!
2,1,usuario_16,1.4,2025-08-19,Obra-prima!
3,1,usuario_11,1.9,2023-11-05,Fotografia linda
4,1,usuario_19,4.7,2025-10-20,Atuações incríveis
5,1,usuario_48,3.6,2024-01-03,Ótimo roteiro
6,1,usuario_46,1.5,2024-04-05,Atuações incríveis
7,1,usuario_27,8.7,2025-12-21,Efeitos especiais incríveis
8,1,usuario_36,8.8,2024-03-12,Excelente filme!
9,1,usuario_46,9.6,2025-06-02,Gostei bastante
10,1,usuario_30,7.5,2023-12-16,Ótimo roteiro
11,1,usuario_19,2.4,2024-04-11,"Péssimo, não recomendo"
12,1,usuario_23,4.5,2025-02-04,Ótimo roteiro
13,1,usuario_9,7.4,2025-12-29,Poderia ser melhor
14,1,usuario_49,8.0,2024-01-17,Ótimo roteiro
15,1,usuario_16,7.9,2024-02-07,Não gostei muito
16,1,usuario_11,2.0,2026-01-24,Não gostei muito
17,1,usuario_18,1.5,2023-11-23,Ótimo roteiro
18,1,usuario_3,3.6,2025-01-01,Roteiro fraco
19,2,usuario_6,3.9,2024-01-20,Gostei bastante
20,2,usuario_3,5.0,2024-03-06,Excelente filme!
21,2,usuario_2,8.9,2025-11-30,Poderia ser melhor
22,2,usuario_49,1.3,2026-04-06,Ótimo roteiro
23,2,usuario_30,3.2,2025-06-26,Ótimo roteiro
24,2,usuario_24,6.6,2024-11-24,Obra-prima!
25,2,usuario_50,8.3,2026-03-05,"Péssimo, não recomendo"
26,2,usuario_36,5.2,2023-07-20,História cativante
27,2,usuario_39,7.4,2025-01-15,"Péssimo, não recomendo"
28,2,usuario_50,8.0,2026-03-28,Atuações incríveis
29,2,usuario_24,9.1,2024-11-06,Atuações incríveis
30,2,usuario_16,9.7,2025-10-12,Filme razoável
31,2,usuario_34,1.9,2024-08-28,Roteiro fraco
32,2,usuario_6,2.6,2025-05-28,Obra-prima!
33,2,usuario_7,5.7,2024-04-14,"Muito bom, recomendo!"
34,2,usuario_2,4.6,2025-03-03,Gostei bastante
35,2,usuario_45,1.9,2024-07-10,Obra-prima!
36,2,usuario_15,4.1,2024-07-21,Atuações incríveis
37,2,usuario_9,2.1,2023-08-13,Excelente filme!
38,2,usuario_22,3.0,2025-01-20,"Péssimo, não recomendo"
39,3,usuario_21,1.1,2025-09-10,"Péssimo, não recomendo"
40,3,usuario_46,3.0,2025-01-12,Não gostei muito
41,3,usuario_11,2.5,2023-08-24,Surpreendente!
42,3,usuario_29,5.9,2024-06-28,Atuações incríveis
43,3,usuario_41,7.0,2023-09-01,Efeitos especiais incríveis
44,3,usuario_21,9.9,2023-09-11,
45,3,usuario_4,2.8,2025-01-18,Não gostei muito
46,3,usuario_8,4.7,2023-10-23,"Muito bom, recomendo!"
47,3,usuario_13,8.8,2024-01-21,Vale a pena assistir
48,3,usuario_26,7.7,2023-09-17,Atuações incríveis
49,3,usuario_31,5.9,2024-10-02,Roteiro fraco
50,3,usuario_28,4.8,2026-04-06,Direção impecável
51,3,usuario_31,6.2,2023-07-31,Não gostei muito
52,4,usuario_44,2.8,2025-03-23,Excelente filme!
53,4,usuario_3,1.2,2024-05-04,Surpreendente!
54,4,usuario_26,9.6,2024-01-02,"Muito bom, recomendo!"
55,4,usuario_50,3.7,2025-08-28,Decepcionante
56,4,usuario_35,6.3,2023-08-18,"Péssimo, não recomendo"
57,4,usuario_43,1.1,2025-11-28,Roteiro fraco
58,4,usuario_37,8.2,2023-09-06,Vale a pena assistir
59,4,usuario_2,4.2,2025-07-06,Efeitos especiais incríveis
60,4,usuario_20,2.5,2025-09-29,Efeitos especiais incríveis
61,4,usuario_40,3.0,2026-02-17,Excelente filme!
62,4,usuario_24,4.6,2023-12-06,Trilha sonora marcante
63,4,usuario_44,7.2,2025-07-14,Obra-prima!
64,4,usuario_26,7.9,2024-06-25,"Péssimo, não recomendo"
65,4,usuario_39,9.2,2025-08-26,Excelente filme!
66,4,usuario_15,6.6,2025-01-28,
67,4,usuario_31,5.0,2025-10-09,Não gostei muito
68,4,usuario_21,5.4,2024-01-03,Fotografia linda
69,4,usuario_8,5.6,2024-07-24,Obra-prima!
70,4,usuario_47,2.6,2025-07-05,"Muito bom, recomendo!"
71,5,usuario_24,8.4,2026-04-10,Gostei bastante
72,5,usuario_3,9.7,2025-02-02,Vale a pena assistir
73,5,usuario_32,4.4,2025-05-17,Roteiro fraco
74,5,usuario_19,9.1,2024-03-08,Trilha sonora marcante
75,5,usuario_14,7.7,2024-10-16,Ótimo roteiro
76,5,usuario_21,4.5,2025-04-29,História cativante
77,6,usuario_47,9.2,2025-01-13,"Muito bom, recomendo!"
78,6,usuario_16,9.6,2025-08-05,Obra-prima!
79,6,usuario_29,9.1,2025-09-30,Direção impecável
80,6,usuario_1,9.7,2024-09-11,
81,6,usuario_47,2.1,2025-01-26,Decepcionante
82,6,usuario_33,5.8,2024-02-06,Não gostei muito
83,6,usuario_28,3.4,2024-03-10,História cativante
84,6,usuario_25,7.2,2024-04-05,Obra-prima!
85,6,usuario_24,7.7,2026-03-15,Fotografia linda
86,6,usuario_15,6.8,2024-11-23,Excelente filme!
87,6,usuario_25,8.0,2024-05-17,"Péssimo, não recomendo"
88,6,usuario_19,8.5,2026-04-07,"Péssimo, não recomendo"
89,6,usuario_38,8.9,2024-03-13,Trilha sonora marcante
90,6,usuario_16,8.2,2025-11-28,Gostei bastante
91,6,usuario_25,6.4,2025-03-05,Roteiro fraco
92,7,usuario_25,4.2,2023-11-15,
93,7,usuario_13,7.2,2025-12-19,Muito longo
94,7,usuario_10,2.8,2023-12-22,Filme razoável
95,7,usuario_19,9.3,2023-09-05,Roteiro fraco
96,7,usuario_47,6.6,2024-01-26,Obra-prima!
97,7,usuario_36,2.3,2026-01-22,Roteiro fraco
98,7,usuario_3,7.8,2025-10-05,História cativante
99,7,usuario_9,3.2,2024-05-11,Surpreendente!
100,7,usuario_14,4.3,2025-11-13,Roteiro fraco
101,7,usuario_44,1.5,2025-03-19,"Péssimo, não recomendo"
102,7,usuario_41,7.9,2024-03-14,Trilha sonora marcante
103,7,usuario_34,2.3,2025-07-31,Surpreendente!
104,7,usuario_49,7.2,2025-10-10,Poderia ser melhor
105,7,usuario_38,1.3,2025-10-18,Ótimo roteiro
106,7,usuario_25,2.9,2025-09-09,Surpreendente!
107,7,usuario_21,4.5,2025-01-18,Surpreendente!
108,8,usuario_50,6.3,2023-09-20,Efeitos especiais incríveis
109,8,usuario_33,9.9,2026-03-09,Trilha sonora marcante
110,8,usuario_23,5.5,2025-12-02,Fotografia linda
111,8,usuario_25,2.9,2025-10-31,Filme razoável
112,8,usuario_36,5.8,2024-01-07,"Muito bom, recomendo!"
113,8,usuario_13,8.1,2024-09-29,Obra-prima!
114,8,usuario_49,6.2,2023-07-20,Gostei bastante
115,8,usuario_23,6.7,2024-01-22,Surpreendente!
116,9,usuario_3,5.5,2025-07-06,Roteiro fraco
117,9,usuario_38,7.9,2024-07-20,Direção impecável
118,9,usuario_40,1.5,2025-08-26,Decepcionante
119,9,usuario_34,4.4,2024-01-21,Não gostei muito
120,9,usuario_12,8.5,2024-08-15,Decepcionante
121,9,usuario_11,4.4,2025-08-11,Muito longo
122,9,usuario_36,7.5,2025-03-25,Surpreendente!
123,9,usuario_34,6.2,2023-09-25,Fotografia linda
124,9,usuario_33,3.9,2025-12-29,Trilha sonora marcante
125,9,usuario_47,4.4,2024-05-15,Não gostei muito
126,9,usuario_34,1.8,2024-08-14,"Muito bom, recomendo!"
127,9,usuario_40,8.5,2024-03-15,Excelente filme!
128,9,usuario_28,1.1,2023-11-09,Surpreendente!
129,9,usuario_21,9.0,2024-01-21,Ótimo roteiro
130,9,usuario_16,3.9,2024-02-28,"Muito bom, recomendo!"
131,9,usuario_41,1.5,2024-03-27,"Muito bom, recomendo!"
132,9,usuario_25,9.1,2024-11-27,Muito longo
133,9,usuario_23,2.8,2024-10-07,Ótimo roteiro
134,9,usuario_10,8.2,2025-11-26,Efeitos especiais incríveis
135,10,usuario_15,6.7,2025-01-21,"Péssimo, não recomendo"
136,10,usuario_43,3.8,2024-05-03,Roteiro fraco
137,10,usuario_5,9.3,2024-01-31,Obra-prima!
138,10,usuario_47,6.1,2026-03-30,
139,10,usuario_11,5.9,2023-09-26,Muito longo
140,10,usuario_14,4.2,2025-01-06,Vale a pena assistir
141,11,usuario_19,1.4,2025-04-27,História cativante
142,11,usuario_36,8.3,2025-06-23,Filme razoável
143,11,usuario_16,9.8,2023-12-16,Muito longo
144,11,usuario_10,8.8,2024-03-08,Obra-prima!
145,11,usuario_1,5.6,2024-07-08,Gostei bastante
146,11,usuario_13,2.0,2023-09-11,Muito longo
147,11,usuario_5,9.1,2025-11-18,Direção impecável
148,11,usuario_22,9.1,2024-08-15,"Muito bom, recomendo!"
149,11,usuario_32,2.7,2025-04-29,Atuações incríveis
150,11,usuario_22,2.1,2025-04-19,"Muito bom, recomendo!"
151,11,usuario_20,1.0,2025-08-07,Muito longo
152,11,usuario_1,3.3,2023-10-07,Excelente filme!
153,12,usuario_14,1.7,2025-09-05,Decepcionante
154,12,usuario_30,4.2,2025-01-19,Efeitos especiais incríveis
155,12,usuario_10,4.2,2024-03-07,Atuações incríveis
156,12,usuario_23,5.4,2023-10-23,Muito longo
157,12,usuario_22,7.9,2025-12-17,"Péssimo, não recomendo"
158,12,usuario_24,6.7,2025-11-13,
159,12,usuario_50,6.4,2025-06-22,Vale a pena assistir
160,12,usuario_13,5.7,2025-06-14,Surpreendente!
161,12,usuario_8,5.3,2023-08-21,
162,12,usuario_23,2.2,2025-08-10,Obra-prima!
163,13,usuario_12,6.2,2024-05-12,Roteiro fraco
164,13,usuario_34,4.2,2025-01-18,Ótimo roteiro
165,13,usuario_14,9.0,2024-01-30,Decepcionante
166,13,usuario_30,6.1,2024-02-11,Efeitos especiais incríveis
167,13,usuario_7,9.9,2025-09-11,Vale a pena assistir
168,13,usuario_38,3.0,2025-07-21,Decepcionante
169,13,usuario_7,4.8,2025-12-04,Ótimo roteiro
170,13,usuario_15,5.7,2025-10-24,"Péssimo, não recomendo"
171,13,usuario_48,8.4,2024-05-17,Surpreendente!
172,13,usuario_36,2.7,2025-03-01,Vale a pena assistir
173,14,usuario_21,6.4,2024-05-04,Poderia ser melhor
174,14,usuario_27,3.2,2026-02-22,Gostei bastante
175,14,usuario_15,4.6,2023-10-27,Direção impecável
176,14,usuario_8,7.3,2024-02-01,Vale a pena assistir
177,14,usuario_24,7.9,2024-04-24,Muito longo
178,14,usuario_26,8.8,2024-09-04,Surpreendente!
179,14,usuario_10,6.8,2023-07-18,Trilha sonora marcante
180,14,usuario_28,7.9,2024-12-20,Decepcionante
181,14,usuario_2,2.9,2025-01-04,Vale a pena assistir
182,14,usuario_19,1.9,2025-06-18,Fotografia linda
183,14,usuario_6,7.1,2026-01-03,"Péssimo, não recomendo"
184,14,usuario_15,5.2,2023-08-25,Direção impecável
185,14,usuario_42,4.8,2025-06-01,Excelente filme!
186,14,usuario_35,5.4,2023-07-31,Roteiro fraco
187,14,usuario_32,6.9,2025-03-10,História cativante
188,14,usuario_25,4.1,2023-09-15,"Péssimo, não recomendo"
189,14,usuario_26,8.4,2024-11-19,Poderia ser melhor
190,14,usuario_26,3.8,2024-11-07,Muito longo
191,14,usuario_7,7.4,2024-01-30,Fotografia linda
192,14,usuario_35,2.3,2025-06-08,História cativante
193,14,usuario_8,1.6,2023-12-26,Decepcionante
194,15,usuario_42,4.7,2025-08-06,Surpreendente!
195,15,usuario_11,6.3,2023-10-30,Filme razoável
196,15,usuario_21,3.4,2026-01-21,"Péssimo, não recomendo"
197,15,usuario_1,3.5,2024-06-24,Roteiro fraco
198,15,usuario_41,9.3,2026-02-25,Excelente filme!
199,15,usuario_38,6.9,2024-03-24,"Muito bom, recomendo!"
200,15,usuario_5,7.0,2024-07-29,Direção impecável
201,15,usuario_49,8.5,2024-07-17,Ótimo roteiro
202,15,usuario_47,7.4,2025-04-27,Decepcionante
203,15,usuario_11,2.0,2025-07-15,Fotografia linda
204,15,usuario_13,8.2,2025-12-13,Gostei bastante
205,15,usuario_18,5.9,2025-11-10,Atuações incríveis
206,15,usuario_49,7.6,2023-10-23,Efeitos especiais incríveis
207,16,usuario_9,2.3,2024-08-05,Muito longo
208,16,usuario_48,4.8,2026-01-04,Excelente filme!
209,16,usuario_39,9.7,2026-02-17,Decepcionante
210,16,usuario_17,4.4,2025-10-23,Excelente filme!
211,16,usuario_15,2.9,2024-12-25,Gostei bastante
212,16,usuario_27,2.5,2025-06-15,Muito longo
213,16,usuario_37,1.5,2024-11-29,Não gostei muito
214,16,usuario_9,3.1,2025-04-05,Surpreendente!
215,16,usuario_44,5.6,2025-05-15,Excelente filme!
216,16,usuario_34,6.2,2024-10-07,Roteiro fraco
217,16,usuario_39,3.4,2026-03-25,Obra-prima!
218,16,usuario_39,5.8,2025-08-16,Trilha sonora marcante
219,16,usuario_39,5.0,2024-10-27,"Péssimo, não recomendo"
220,16,usuario_45,7.4,2024-02-05,Ótimo roteiro
221,16,usuario_36,1.2,2025-07-20,Obra-prima!
222,16,usuario_25,9.7,2026-03-02,Fotografia linda
223,16,usuario_13,5.7,2024-04-10,Roteiro fraco
224,16,usuario_11,5.0,2025-05-19,Decepcionante
225,16,usuario_7,1.5,2026-02-28,Muito longo
226,16,usuario_26,7.9,2023-11-02,Muito longo
227,16,usuario_16,5.4,2025-08-11,Efeitos especiais incríveis
228,16,usuario_32,6.3,2023-08-05,Vale a pena assistir
229,16,usuario_11,2.0,2025-12-16,Roteiro fraco
230,16,usuario_27,5.6,2025-02-26,Direção impecável
231,17,usuario_34,3.5,2024-04-10,Obra-prima!
232,17,usuario_36,1.6,2024-10-13,Decepcionante
233,17,usuario_6,5.9,2023-09-02,Muito longo
234,17,usuario_15,7.1,2026-02-27,Excelente filme!
235,17,usuario_3,9.5,2026-03-02,Trilha sonora marcante
236,17,usuario_27,2.8,2025-12-01,Fotografia linda
237,18,usuario_17,4.0,2024-07-15,Vale a pena assistir
238,18,usuario_13,3.9,2025-09-02,Atuações incríveis
239,18,usuario_30,8.2,2023-09-30,História cativante
240,18,usuario_50,5.9,2025-07-28,Muito longo
241,18,usuario_14,9.5,2024-05-19,Não gostei muito
242,18,usuario_21,3.3,2023-12-22,Não gostei muito
243,18,usuario_7,1.1,2026-01-27,Filme razoável
244,18,usuario_18,3.3,2025-08-18,Vale a pena assistir
245,18,usuario_36,2.2,2024-09-01,Muito longo
246,18,usuario_2,4.1,2023-09-02,Atuações incríveis
247,18,usuario_42,1.2,2025-09-29,Vale a pena assistir
248,18,usuario_27,8.5,2023-07-21,Atuações incríveis
249,18,usuario_43,9.7,2023-11-04,"Muito bom, recomendo!"
250,18,usuario_26,2.2,2025-06-18,Atuações incríveis
251,18,usuario_31,1.4,2025-03-02,
252,18,usuario_40,9.7,2025-03-26,
253,18,usuario_46,2.0,2026-02-15,Muito longo
254,18,usuario_23,5.4,2026-02-13,"Muito bom, recomendo!"
255,18,usuario_20,6.9,2025-07-10,
256,18,usuario_10,3.9,2025-03-21,História cativante
257,18,usuario_33,10.0,2023-11-28,Excelente filme!
258,18,usuario_29,6.5,2025-01-03,"Muito bom, recomendo!"
259,18,usuario_6,3.1,2025-05-15,Ótimo roteiro
260,19,usuario_34,3.7,2024-04-12,Filme razoável
261,19,usuario_25,5.0,2025-06-23,
262,19,usuario_49,7.3,2025-04-10,Roteiro fraco
263,19,usuario_19,8.8,2024-09-03,Direção impecável
264,19,usuario_30,2.6,2023-11-19,Filme razoável
265,19,usuario_22,5.7,2023-07-20,Surpreendente!
266,19,usuario_39,3.4,2025-07-31,Excelente filme!
267,19,usuario_24,6.9,2024-07-03,Atuações incríveis
268,19,usuario_25,9.4,2024-02-28,
269,20,usuario_20,3.3,2024-11-09,Roteiro fraco
270,20,usuario_29,1.1,2023-07-26,Poderia ser melhor
271,20,usuario_33,3.9,2025-05-12,Trilha sonora marcante
272,20,usuario_11,7.7,2024-01-27,Roteiro fraco
273,20,usuario_21,2.3,2024-08-01,Poderia ser melhor
274,20,usuario_42,1.3,2026-03-04,Vale a pena assistir
275,20,usuario_44,4.4,2025-05-25,Atuações incríveis
276,20,usuario_29,5.8,2024-09-15,Gostei bastante
277,20,usuario_38,5.9,2024-06-07,Vale a pena assistir
278,20,usuario_6,2.6,2025-10-30,Filme razoável
279,20,usuario_6,2.6,2024-11-24,Ótimo roteiro
280,20,usuario_12,6.0,2025-04-05,"Péssimo, não recomendo"
281,20,usuario_22,7.6,2025-01-30,Efeitos especiais incríveis
282,21,usuario_49,8.7,2024-08-07,História cativante
283,21,usuario_13,7.2,2025-06-05,Muito longo
284,21,usuario_8,9.5,2024-04-10,Excelente filme!
285,21,usuario_4,9.8,2024-09-06,Poderia ser melhor
286,21,usuario_4,9.1,2024-09-12,Trilha sonora marcante
287,21,usuario_13,8.9,2025-06-16,Vale a pena assistir
288,21,usuario_37,1.6,2023-12-01,Decepcionante
289,21,usuario_26,2.9,2025-06-16,Vale a pena assistir
290,21,usuario_43,8.7,2023-11-10,Fotografia linda
291,21,usuario_33,7.1,2024-10-10,Surpreendente!
292,21,usuario_36,4.9,2025-09-08,Decepcionante
293,21,usuario_50,7.8,2026-03-04,Atuações incríveis
294,21,usuario_34,2.3,2025-07-29,Ótimo roteiro
295,21,usuario_13,1.5,2024-12-23,Gostei bastante
296,22,usuario_19,1.8,2026-02-16,Poderia ser melhor
297,22,usuario_34,5.0,2025-02-05,Obra-prima!
298,22,usuario_13,2.7,2024-09-12,Direção impecável
299,22,usuario_4,6.9,2025-03-15,Excelente filme!
300,22,usuario_25,8.4,2024-10-31,Excelente filme!
301,22,usuario_5,9.8,2025-04-29,Surpreendente!
302,22,usuario_33,4.8,2025-12-05,Fotografia linda
303,22,usuario_7,1.3,2024-11-11,
304,22,usuario_4,3.1,2024-11-03,Atuações incríveis
305,22,usuario_41,2.8,2023-12-22,Decepcionante
306,22,usuario_9,3.4,2025-02-01,Obra-prima!
307,22,usuario_18,2.5,2026-02-19,Atuações incríveis
308,22,usuario_33,5.6,2025-01-21,Não gostei muito
309,22,usuario_19,1.3,2026-03-06,Surpreendente!
310,23,usuario_46,1.3,2025-04-08,
311,23,usuario_11,9.2,2024-11-21,Fotografia linda
312,23,usuario_21,8.6,2025-08-04,Efeitos especiais incríveis
313,23,usuario_26,3.6,2024-06-09,Vale a pena assistir
314,23,usuario_12,1.5,2025-03-26,
315,23,usuario_4,1.8,2026-03-19,Trilha sonora marcante
316,23,usuario_16,3.6,2025-03-30,Efeitos especiais incríveis
317,23,usuario_14,1.4,2025-09-24,Não gostei muito
318,23,usuario_8,4.5,2026-02-21,"Péssimo, não recomendo"
319,23,usuario_42,5.6,2026-03-15,Filme razoável
320,23,usuario_10,9.3,2025-11-20,Ótimo roteiro
321,23,usuario_38,5.8,2024-06-14,Trilha sonora marcante
322,23,usuario_43,2.5,2025-11-04,História cativante
323,23,usuario_20,6.0,2024-01-02,História cativante
324,23,usuario_17,7.8,2024-05-04,"Péssimo, não recomendo"
325,23,usuario_1,5.4,2025-04-02,"Muito bom, recomendo!"
326,23,usuario_9,6.7,2025-10-25,Gostei bastante
327,23,usuario_5,3.4,2026-01-30,Muito longo
328,23,usuario_42,1.3,2026-03-30,Obra-prima!
329,23,usuario_40,4.4,2025-08-21,Trilha sonora marcante
330,24,usuario_41,2.0,2024-11-11,Poderia ser melhor
331,24,usuario_10,4.9,2026-04-06,Excelente filme!
332,24,usuario_3,2.4,2024-01-15,Muito longo
333,24,usuario_5,8.6,2024-08-13,Obra-prima!
334,24,usuario_42,1.2,2024-09-11,
335,24,usuario_16,1.9,2026-04-11,Poderia ser melhor
336,25,usuario_25,7.7,2024-01-07,Surpreendente!
337,25,usuario_25,3.5,2026-01-25,Direção impecável
338,25,usuario_1,3.5,2024-08-04,Direção impecável
339,25,usuario_10,9.3,2024-09-01,
340,25,usuario_8,6.7,2026-01-10,Direção impecável
341,25,usuario_30,1.9,2023-08-07,História cativante
342,25,usuario_45,1.1,2026-01-21,Trilha sonora marcante
343,25,usuario_47,3.0,2026-03-24,Ótimo roteiro
344,25,usuario_13,6.2,2026-03-08,Filme razoável
345,25,usuario_42,6.6,2025-04-03,"Péssimo, não recomendo"
346,25,usuario_34,1.5,2026-03-20,Fotografia linda
347,25,usuario_8,3.8,2025-11-26,Filme razoável
348,25,usuario_20,4.2,2023-12-23,Excelente filme!
349,25,usuario_10,7.3,2023-12-03,Obra-prima!
350,25,usuario_48,1.2,2023-09-15,Não gostei muito
351,25,usuario_37,5.9,2025-09-10,Atuações incríveis
352,26,usuario_40,3.6,2025-06-13,Fotografia linda
353,26,usuario_25,6.1,2024-09-24,Fotografia linda
354,26,usuario_39,3.2,2025-05-31,Filme razoável
355,26,usuario_24,8.5,2026-04-12,Filme razoável
356,26,usuario_11,3.1,2024-12-07,Decepcionante
357,26,usuario_8,3.8,2025-11-16,
358,26,usuario_29,7.0,2024-10-31,Direção impecável
359,26,usuario_47,1.9,2024-01-24,Ótimo roteiro
360,26,usuario_32,5.8,2024-02-27,Direção impecável
361,26,usuario_27,6.0,2026-03-01,Poderia ser melhor
362,26,usuario_20,3.1,2023-07-22,Obra-prima!
363,26,usuario_22,4.2,2026-03-05,Filme razoável
364,26,usuario_29,9.5,2025-04-07,"Péssimo, não recomendo"
365,26,usuario_44,9.0,2023-10-05,Vale a pena assistir
366,26,usuario_46,6.0,2024-06-01,Atuações incríveis
367,26,usuario_29,7.7,2024-10-30,Direção impecável
368,26,usuario_37,8.9,2025-01-14,Direção impecável
369,26,usuario_50,2.4,2023-10-19,Gostei bastante
370,26,usuario_20,8.4,2025-03-06,"Muito bom, recomendo!"
371,26,usuario_43,9.6,2025-12-21,Não gostei muito
372,26,usuario_4,7.1,2023-07-28,Decepcionante
373,26,usuario_4,9.0,2025-05-03,Direção impecável
374,26,usuario_14,7.0,2025-08-30,Fotografia linda
375,26,usuario_28,7.5,2025-12-24,Ótimo roteiro
376,27,usuario_47,9.0,2024-11-01,Decepcionante
377,27,usuario_45,6.3,2024-05-28,Atuações incríveis
378,27,usuario_36,9.9,2025-11-09,Direção impecável
379,27,usuario_34,9.0,2024-08-21,Não gostei muito
380,27,usuario_38,2.4,2025-05-02,Poderia ser melhor
381,27,usuario_41,8.8,2023-09-20,Obra-prima!
382,27,usuario_6,2.7,2024-05-27,Atuações incríveis
383,27,usuario_8,5.1,2024-05-21,Ótimo roteiro
384,27,usuario_22,3.9,2025-02-05,Trilha sonora marcante
385,27,usuario_39,4.7,2024-01-28,Vale a pena assistir
386,27,usuario_34,9.2,2024-08-05,Poderia ser melhor
387,27,usuario_29,9.0,2025-11-03,História cativante
